t,fl_hip,fl_thigh,fl_crank,fr_hip,fr_thigh,fr_crank,rl_hip,rl_thigh,rl_crank,rr_hip,rr_thigh,rr_crank
2.500000000000000139e-02,-0.000000000000000000e+00,1.218555096421463924e-01,1.694705633210600026e-01,-0.000000000000000000e+00,2.647499196153823009e-01,2.039620051926511468e-01,0.000000000000000000e+00,-2.647499196153813572e-01,-2.039620051926482602e-01,0.000000000000000000e+00,-1.218555096421504169e-01,-1.694705633210632778e-01
2.666666666666666838e-02,-0.000000000000000000e+00,1.188014984405358493e-01,1.670115275291320922e-01,-0.000000000000000000e+00,2.669310519751345590e-01,2.035020165302106609e-01,0.000000000000000000e+00,-2.669310519751340594e-01,-2.035020165302116324e-01,0.000000000000000000e+00,-1.188014984405359464e-01,-1.670115275291376433e-01
2.833333333333333537e-02,-0.000000000000000000e+00,1.157521293970332626e-01,1.645482065623763979e-01,-0.000000000000000000e+00,2.691121286786061217e-01,2.028614749251314853e-01,0.000000000000000000e+00,-2.691121286786042344e-01,-2.028614749251340943e-01,0.000000000000000000e+00,-1.157521293970349002e-01,-1.645482065623828927e-01
3.000000000000000236e-02,-0.000000000000000000e+00,1.127074402935039632e-01,1.620806309119162958e-01,-0.000000000000000000e+00,2.712897200791071772e-01,2.020428787703182627e-01,0.000000000000000000e+00,-2.712897200791081764e-01,-2.020428787703198448e-01,0.000000000000000000e+00,-1.127074402935026448e-01,-1.620806309119263711e-01
3.166666666666666935e-02,-0.000000000000000000e+00,1.096674690295835475e-01,1.596088312822166178e-01,-0.000000000000000000e+00,2.734600171254359391e-01,2.010486651185558193e-01,0.000000000000000000e+00,-2.734600171254339962e-01,-2.010486651185538209e-01,0.000000000000000000e+00,-1.096674690295782878e-01,-1.596088312822154243e-01
3.333333333333333287e-02,-0.000000000000000000e+00,1.066322536191971898e-01,1.571328385883771495e-01,-0.000000000000000000e+00,2.756188511239982541e-01,1.998812137414615053e-01,0.000000000000000000e+00,-2.756188511239962002e-01,-1.998812137414585077e-01,0.000000000000000000e+00,-1.066322536191943865e-01,-1.571328385883860590e-01
3.500000000000000333e-02,-0.000000000000000000e+00,1.036018321871042674e-01,1.546526839534579645e-01,-0.000000000000000000e+00,2.777617137150272808e-01,1.985428512040787463e-01,0.000000000000000000e+00,-2.777617137150260040e-01,-1.985428512040706694e-01,0.000000000000000000e+00,-1.036018321871043091e-01,-1.546526839534493325e-01
3.666666666666666685e-02,-0.000000000000000000e+00,1.005762429654033230e-01,1.521683987056296206e-01,-0.000000000000000000e+00,2.798837770388338808e-01,1.970358549592642894e-01,0.000000000000000000e+00,-2.798837770388352131e-01,-1.970358549592706454e-01,0.000000000000000000e+00,-1.005762429653990070e-01,-1.521683987056375309e-01
3.833333333333333731e-02,-0.000000000000000000e+00,9.755552429001808357e-02,1.496800143755298296e-01,-0.000000000000000000e+00,2.819799140722463182e-01,1.953624574706777917e-01,0.000000000000000000e+00,-2.819799140722507036e-01,-1.953624574706794292e-01,0.000000000000000000e+00,-9.755552429001311532e-02,-1.496800143755343815e-01
4.000000000000000083e-02,-0.000000000000000000e+00,9.453971459717601389e-02,1.471875626933329406e-01,-0.000000000000000000e+00,2.840447191195131782e-01,1.935248503774583961e-01,0.000000000000000000e+00,-2.840447191195035193e-01,-1.935248503774571749e-01,0.000000000000000000e+00,-9.453971459717967762e-02,-1.471875626933366876e-01
4.166666666666667129e-02,-0.000000000000000000e+00,9.152885241988951981e-02,1.446910755860034148e-01,-0.000000000000000000e+00,2.860725284462619089e-01,1.915251887181250168e-01,0.000000000000000000e+00,-2.860725284462747320e-01,-1.915251887181199097e-01,0.000000000000000000e+00,-9.152885241989283660e-02,-1.446910755860032760e-01
4.333333333333333481e-02,-0.000000000000000000e+00,8.852297638437951754e-02,1.421905851744496296e-01,-0.000000000000000000e+00,2.880574410493528248e-01,1.893655952345844329e-01,0.000000000000000000e+00,-2.880574410493547677e-01,-1.893655952345985327e-01,0.000000000000000000e+00,-8.852297638437876814e-02,-1.421905851744456328e-01
4.500000000000000527e-02,-0.000000000000000000e+00,8.552212520650788463e-02,1.396861237706203962e-01,-0.000000000000000000e+00,2.899933395594144758e-01,1.870481647807736847e-01,0.000000000000000000e+00,-2.899933395594092578e-01,-1.870481647807749614e-01,0.000000000000000000e+00,-8.552212520651635008e-02,-1.396861237706205072e-01
4.666666666666666879e-02,-0.000000000000000000e+00,8.252633768823247618e-02,1.371777238746650918e-01,-0.000000000000000000e+00,2.918739112768785615e-01,1.845749688624893081e-01,0.000000000000000000e+00,-2.918739112768873878e-01,-1.845749688625041296e-01,0.000000000000000000e+00,-8.252633768823026961e-02,-1.371777238746656746e-01
4.833333333333333925e-02,-0.000000000000000000e+00,7.953565271395943159e-02,1.346654181720033927e-01,-0.000000000000000000e+00,2.936926693454985360e-01,1.819480603378443584e-01,0.000000000000000000e+00,-2.936926693455008675e-01,-1.819480603378316741e-01,0.000000000000000000e+00,-7.953565271395542091e-02,-1.346654181720087218e-01
5.000000000000000278e-02,-0.000000000000000000e+00,7.655010924699127972e-02,1.321492395303976719e-01,-0.000000000000000000e+00,2.954429740706543961e-01,1.791694783080062525e-01,0.000000000000000000e+00,-2.954429740706386864e-01,-1.791694783080036990e-01,0.000000000000000000e+00,-7.655010924699372221e-02,-1.321492395303996981e-01
5.166666666666667324e-02,-0.000000000000000000e+00,7.356974632588754448e-02,1.296292209969992504e-01,-0.000000000000000000e+00,2.971180543917807393e-01,1.762412532293333722e-01,0.000000000000000000e+00,-2.971180543917759098e-01,-1.762412532293262113e-01,0.000000000000000000e+00,-7.356974632587869045e-02,-1.296292209969899523e-01
5.333333333333333676e-02,-0.000000000000000000e+00,7.059460306081501157e-02,1.271053957953780511e-01,-0.000000000000000000e+00,2.987110295207469624e-01,1.731654122769672177e-01,0.000000000000000000e+00,-2.987110295207643929e-01,-1.731654122770181770e-01,0.000000000000000000e+00,-7.059460306081086212e-02,-1.271053957953798275e-01
